0.1	9.574203187	9.125996016	8.570717131	7.940737052	7.671812749	7.66185259
0.2	10.18675299	9.322709163	8.610557769	8.294322709	7.940737052	7.823705179
0.3	10.34611554	9.780876494	8.824701195	8.378984064	7.993027888	7.895916335
0.4	10.36354582	9.790836653	8.981573705	8.403884462	8.289342629	7.913346614
0.5	10.42579681	9.945219124	9.165836653	8.660358566	8.291832669	8.017928287
0.6	10.62250996	10.03984064	9.429780876	8.725099602	8.326693227	8.067729084
0.7	10.65488048	10.12948207	9.666334661	8.74252988	8.545816733	8.234561753
0.8	10.83914343	10.15189243	9.6812749	9.482071713	9.193227092	8.697709163
0.9	10.96115538	10.18177291	9.698705179	9.519422311	9.245517928	9.143426295
1	11.27739044	10.60258964	9.902888446	9.594123506	9.292828685	9.158366534
