0.1	8.318015	5.698529	4.702819	4.427083	4.427083	4.381127
0.2	8.961397	6.188725	5.637255	5.453431	5.116422	5.116422
0.3	9.773284	7.981005	6.127451	5.851716	5.667892	5.667892
0.4	10.72304	8.072917	7.843137	7.843137	7.291667	6.341912
0.5	10.769	9.604779	8.241422	8.103554	7.674632	6.556373
0.6	11.51961	10.11029	8.685662	8.501838	7.735907	7.077206
0.7	12.11703	10.12561	8.884804	8.884804	7.843137	7.598039
0.8	12.20895	10.58517	9.911152	9.681373	7.981005	7.843137
0.9	12.80637	10.87623	10.64645	10.56985	8.440564	7.981005
1	12.9902	12.80637	12.40809	10.769	8.471201	8.287377
